scenario,standard,param_name,param_value,flow_id,src,dst,txPkts,rxPkts,lost,lossRate_pct,meanDelay_ms,jitter_ms
distance,80211be,distance_m,5,1,192.168.1.2:49153,192.168.1.1:9,15000,15000,0,0,0.717089,0.410331
distance,80211be,distance_m,5,2,192.168.1.3:49153,192.168.1.1:9,15000,15000,0,0,0.723534,0.416263
distance,80211be,distance_m,5,3,192.168.1.4:49153,192.168.1.1:9,15000,15000,0,0,0.726583,0.41602
distance,80211be,distance_m,5,4,192.168.1.5:49153,192.168.1.1:9,15000,15000,0,0,0.720365,0.406936
distance,80211be,distance_m,5,5,192.168.1.6:49153,192.168.1.1:9,15000,15000,0,0,0.729731,0.414327
distance,80211be,distance_m,10,1,192.168.1.2:49153,192.168.1.1:9,15000,15000,0,0,0.71667,0.40447
distance,80211be,distance_m,10,2,192.168.1.3:49153,192.168.1.1:9,15000,15000,0,0,0.621946,0.320884
distance,80211be,distance_m,10,3,192.168.1.4:49153,192.168.1.1:9,15000,15000,0,0,0.728136,0.407377
distance,80211be,distance_m,10,4,192.168.1.5:49153,192.168.1.1:9,15000,15000,0,0,0.718452,0.405701
distance,80211be,distance_m,10,5,192.168.1.6:49153,192.168.1.1:9,15000,15000,0,0,0.725947,0.408662
distance,80211be,distance_m,15,1,192.168.1.2:49153,192.168.1.1:9,15000,14997,0,0,6.90894,2.40294
distance,80211be,distance_m,15,2,192.168.1.3:49153,192.168.1.1:9,15000,15000,0,0,0.236302,0.231158
distance,80211be,distance_m,15,3,192.168.1.4:49153,192.168.1.1:9,15000,14996,0,0,9.26071,2.64661
distance,80211be,distance_m,15,4,192.168.1.5:49153,192.168.1.1:9,15000,14999,0,0,2.31147,1.49382
distance,80211be,distance_m,15,5,192.168.1.6:49153,192.168.1.1:9,15000,15000,0,0,1.02436,0.750273
distance,80211be,distance_m,20,1,192.168.1.2:49153,192.168.1.1:9,15000,0,10001,66.6733,-1,-1
distance,80211be,distance_m,20,2,192.168.1.3:49153,192.168.1.1:9,15000,15000,0,0,0.572634,0.548253
distance,80211be,distance_m,20,3,192.168.1.4:49153,192.168.1.1:9,15000,0,10001,66.6733,-1,-1
distance,80211be,distance_m,20,4,192.168.1.5:49153,192.168.1.1:9,15000,7,9998,66.6533,499.887,1.03328
distance,80211be,distance_m,20,5,192.168.1.6:49153,192.168.1.1:9,15000,14384,290,1.93333,352.511,3.79538
distance,80211be,distance_m,25,1,192.168.1.2:49153,192.168.1.1:9,15000,0,10001,66.6733,-1,-1
distance,80211be,distance_m,25,2,192.168.1.3:49153,192.168.1.1:9,15000,15000,0,0,0.700222,0.667448
distance,80211be,distance_m,25,3,192.168.1.4:49153,192.168.1.1:9,15000,0,10001,66.6733,-1,-1
distance,80211be,distance_m,25,4,192.168.1.5:49153,192.168.1.1:9,15000,0,10001,66.6733,-1,-1
distance,80211be,distance_m,25,5,192.168.1.6:49153,192.168.1.1:9,15000,0,10001,66.6733,-1,-1
