scenario,standard,param_name,param_value,rng_run,flow_id,src,dst,txPkts,rxPkts,lost,lossRate_pct,meanDelay_ms,jitter_ms
background,80211ac,nBackground,1,7,4,192.168.1.6:49153,192.168.1.1:9,849,849,0,0,0.0524395,0.0110068
background,80211ac,nBackground,1,7,5,192.168.1.2:49153,192.168.1.1:9,888,888,0,0,0.0559032,0.0115975
background,80211ac,nBackground,1,7,6,192.168.1.4:49153,192.168.1.1:9,872,872,0,0,0.0523768,0.0140275
background,80211ac,nBackground,1,8,2,192.168.1.2:49153,192.168.1.1:9,781,781,0,0,0.0568352,0.0100922
background,80211ac,nBackground,1,8,3,192.168.1.5:49153,192.168.1.1:9,859,859,0,0,0.0459408,0.00559714
background,80211ac,nBackground,1,8,4,192.168.1.3:49153,192.168.1.1:9,920,920,0,0,0.0480501,0.00739161
background,80211ac,nBackground,1,8,5,192.168.1.4:49153,192.168.1.1:9,809,809,0,0,0.0472995,0.00682259
background,80211ac,nBackground,1,8,6,192.168.1.6:49153,192.168.1.1:9,802,802,0,0,0.045085,0.00417274
background,80211ac,nBackground,1,9,1,192.168.1.2:49153,192.168.1.1:9,727,727,0,0,0.0474772,0.00880643
background,80211ac,nBackground,1,9,2,192.168.1.5:49153,192.168.1.1:9,867,867,0,0,0.0460964,0.00546234
background,80211ac,nBackground,1,9,3,192.168.1.3:49153,192.168.1.1:9,902,902,0,0,0.0481311,0.00826807
background,80211ac,nBackground,1,9,4,192.168.1.6:49153,192.168.1.1:9,868,868,0,0,0.0490258,0.00509679
background,80211ac,nBackground,1,9,6,192.168.1.4:49153,192.168.1.1:9,971,971,0,0,0.0488714,0.00842948
background,80211ac,nBackground,1,10,2,192.168.1.5:49153,192.168.1.1:9,841,841,0,0,0.0609129,0.0159139
background,80211ac,nBackground,1,10,3,192.168.1.3:49153,192.168.1.1:9,904,904,0,0,0.0472205,0.0078593
background,80211ac,nBackground,1,10,4,192.168.1.4:49153,192.168.1.1:9,870,870,0,0,0.0466753,0.00654631
background,80211ac,nBackground,1,10,5,192.168.1.2:49153,192.168.1.1:9,857,857,0,0,0.0466514,0.00705615
background,80211ac,nBackground,1,10,6,192.168.1.6:49153,192.168.1.1:9,947,947,0,0,0.051179,0.0081587
background,80211ac,nBackground,2,1,1,192.168.1.6:49153,192.168.1.1:9,856,856,0,0,0.0490975,0.0121398
background,80211ac,nBackground,2,1,3,192.168.1.3:49153,192.168.1.1:9,1016,1016,0,0,0.0469861,0.00731363
background,80211ac,nBackground,2,1,4,192.168.1.2:49153,192.168.1.1:9,889,889,0,0,0.0487697,0.0106197
background,80211ac,nBackground,2,1,5,192.168.1.4:49153,192.168.1.1:9,911,911,0,0,0.0494431,0.0122953
background,80211ac,nBackground,2,1,7,192.168.1.5:49153,192.168.1.1:9,866,866,0,0,0.053172,0.0133855
background,80211ac,nBackground,2,2,1,192.168.1.3:49153,192.168.1.1:9,870,870,0,0,0.0491265,0.00707612
background,80211ac,nBackground,2,2,3,192.168.1.5:49153,192.168.1.1:9,903,903,0,0,0.0465407,0.00689478
background,80211ac,nBackground,2,2,4,192.168.1.2:49153,192.168.1.1:9,833,833,0,0,0.055468,0.0167836
background,80211ac,nBackground,2,2,5,192.168.1.4:49153,192.168.1.1:9,953,953,0,0,0.047961,0.00997608
background,80211ac,nBackground,2,2,6,192.168.1.6:49153,192.168.1.1:9,812,812,0,0,0.0463932,0.00592611
background,80211ac,nBackground,2,3,1,192.168.1.5:49153,192.168.1.1:9,846,846,0,0,0.0517632,0.0150592
background,80211ac,nBackground,2,3,2,192.168.1.6:49153,192.168.1.1:9,795,795,0,0,0.0496154,0.0102466
